Attrition,Business,CF Age Band,CF Attrition Lable,Department,Education Field,Emp No,Employee Number,Gender,Job Role,Marital Status,Overtime,Over 18,Training Times,Traning Times Last Year,-2,0,Age,CF_current Employee,Daily Rate,Distance From Home,Education,Education ,EmployeeCount,Environment Satisfaction,Hourly Rate,Job Involvement,job Level,Job  Satisfaction,Monthly income,Monthly Rate ,Num Companies Worked,Percent Sallary Hike ,Performance Rating Relationship Satisfactior,Standard Hours,Stock Optional Level,total work years,Work
No,Corporate,50-59,Attrited,Finance,Medical,1,1001,Male,Engineer,Single,No,Y,2,9,-2,0,58,Yes,946,32,1,3,1,3,50,3,1,1,2381,10339,3,22,5,80,2,34,42
No,Corporate,30-39,Current,R&D,Engineering,2,1002,Female,Executive,Married,Yes,Y,9,7,-2,0,37,Yes,609,4,3,2,1,2,64,1,4,4,19546,14556,3,17,4,80,3,28,96
No,Corporate,50-59,Attrited,IT,Arts,3,1003,Male,Executive,Married,No,Y,4,10,-2,0,58,Yes,911,6,5,1,1,4,35,2,5,4,9539,16799,8,7,4,80,2,26,24
No,Corporate,40-49,Attrited,IT,Science,4,1004,Male,Engineer,Divorced,No,Y,9,7,-2,0,44,Yes,646,24,5,4,1,2,74,2,4,4,19428,12650,6,5,3,80,1,10,42
No,Corporate,50-59,Attrited,Finance,Arts,5,1005,Male,Executive,Divorced,No,Y,6,9,-2,0,52,Yes,166,6,4,3,1,4,32,1,2,1,18623,2469,2,3,4,80,1,35,53
No,Corporate,40-49,Attrited,HR,Medical,6,1006,Female,Analyst,Divorced,Yes,Y,7,8,-2,0,46,Yes,383,46,4,1,1,2,63,4,1,1,8067,11641,8,20,2,80,2,39,9
Yes,Corporate,60-69,Attrited,IT,Science,7,1007,Female,Analyst,Single,Yes,Y,10,1,-2,0,60,Yes,273,47,3,2,1,1,72,1,2,4,16939,15185,10,17,3,80,3,32,41
No,Corporate,10-19,Current,Sales,Commerce,8,1008,Male,Clerk,Divorced,Yes,Y,10,2,-2,0,18,No,761,34,3,3,1,1,65,2,1,3,5742,19147,6,5,4,80,1,37,56
Yes,Corporate,60-69,Attrited,Finance,Medical,9,1009,Female,Executive,Divorced,Yes,Y,7,7,-2,0,60,No,809,2,2,5,1,4,90,4,5,3,15289,14922,10,21,2,80,0,10,65
No,Corporate,40-49,Attrited,IT,Engineering,10,1010,Male,Executive,Married,Yes,Y,6,6,-2,0,48,No,941,7,1,1,1,2,84,2,1,2,13816,12200,0,21,4,80,0,28,47
